FID_,Id,Name,long,lat
,1.000000000000000,Bridle St.,529341.957380000040000,180875.730898999990000
,2.000000000000000,Warwick St.,529185.230993999980000,180845.546558000000000
,3.000000000000000,Marlborough Mews,529072.249350000060000,181246.368875999990000
,4.000000000000000,Carnaby St.,529082.482587000010000,181129.660191000000000
,5.000000000000000,Rupert St.,529502.447432999960000,180946.947286000010000
,6.000000000000000,Tighborne St.,529480.743890000040000,180718.273810999990000
,7.000000000000000,Sackville Row & Vigo St.,529093.765720000020000,180717.782501000010000
,8.000000000000000,Oxford Market St.,529066.506654000030000,181408.933488999990000
,9.000000000000000,Oxford St. & Beaners St.,529326.919546999970000,181385.981843999990000
,10.000000000000000,Newman St.,529409.089377000000000,181409.595555000010000
,11.000000000000000,Broad St.,529287.415999999970000,181077.462000000000000
,12.000000000000000,Castle St.,529194.684000000010000,181444.995000000000000
,13.000000000000000,Dean St.,529637.655999999960000,180975.731999999990000
